flagged_address,total_eth
\xb2628597aac64b136c2aae3a516ea79a44817d77,52676.60234027426
\x311f71389e3de68f7b2097ad02c6ad7b2dde4c71,16709.103598073532
\x4ac6307a85d83962503f86457de9c331a6926f48,7423.742320714496
\x1d60606d8a09b5015d773a80b0c660bb8d91809c,2067.750892013527
\xba83e9ce38b10522e3d6061a12779b7526839eda,1990.7571315208065
\xef57aa4b57587600fc209f345fe0a2687bc26985,1835.17667148149
\x858457daa7e087ad74cdeeceab8419079bc2ca03,1630.5774191330895
\xaea3846e14bec1ba8f562844d39b1215a1d588c6,1283.9280043737228
\x4a0d27a1044dd871a93275de5109e5f5efc4d46e,1279.0553973423748
\xf0a924661b0263e5ce12756d07f45b8668c53380,1213.8873938742702
\x3fcb2d173389b7cd8079ef8b439dbd92e7e0ae28,1163.9041282770013
\x2268751eafc860781074d25f4bd10ded480310b9,1151.3030257909174
\x3681828da105fc3c44e212f6c3dc51a0a5a6f5c6,1086.0929108765422
\xed2d26eed06ecfbfd796d1ec551d2a649a31e576,894.4561496957758
\x4bf722014e54aeab05fcf1519e6e4c0c3f742e43,882.710017471721
\x89c98cc6d9917b615257e5704e83906402f0f91f,799.1989844460246
\xf33068d5e798f6519349ce32669d1ec940db1193,783.982947175108
\xfbf6f29c126382cf15795bb209ee506a174cc709,683.7081
\x05dd62c007cde143b402fa5da3937c40c70b4b14,625.9938805625735
\x536a6ba0d913d5d6a4ce2c6eb7ed0de3c0f0b89e,611.3820377217753
\x1e80dad60d19fb8159af3f440a8ceaa0e5581847,608.8643103920498
\x474057adf42f9f955e86aa1142740f9d7763e41e,563.5973131931052
\x7e3d7d8e31b3f472fcd3c1552a9f009131c50c6c,561.6435849247229
\x33f74739ce6be3b2c38af76f5adb3866cb4784c4,501.5937353187589
\xfad05ee13c8e0ec94e5ee9dc056dc451b2ad6b1d,496.98833
\x40949225c4a1745a9946f6aaf763241c082cb9ac,488.1959800651775
\x68b0e0db7918c0211ea1fb78292a879839137dd0,430.5548345424704
\x44a7ff01f7d38c73530c279e19d31527bdcf8c78,421.1034418904174
\x7c9001c50ea57c1b2ec1e3e63cf04c297534bfc1,376.09245246242756
\xd0cc2b24980cbcca47ef755da88b220a82291407,367.21312980114294
\xda657e9fa116900fab8178e5580a3a6cedd89f3c,366.7204460825684
\xb0dd2b7fea3c5790b39433cbd3e8fd35fd3cf662,337.9292746527286
\xb547027a4ccd46ec98199fa88aaedf5aa981db26,321.8099164694006
\x3853ba76ec6ae97818e2d0e0839c9eda6c396690,309.13066056129617
\x42c5459911ae51d1d005cbe39749bd8d8e533c22,304.4920985547965
\x5208d7f63a089906889a5a9caed81e9c889e64f8,293.9437948094366
\xc38d14bf89e0001260bb349a006d7e491e5f43ad,279.7541548
\x69f8e87518129498da751f26ea2309db05e7270b,254.68441878731184
\x2da8703d18afed53b303119e4ff06cf035a9fadb,223.20373410590963
\x1086feeb031e45e8fcd770662aa8302d7c23ba1f,218.4725976003354
\x0ae775637e63fa95855246fd82e96802d05883fc,211.61937829556902
\xb7c4a4341c0a03460b6cec4fa997dd2d748ce281,210.188266728
\x2d791afb30b48a0ac39e6b416d2f46aa095b1704,202.1169585914746
\x00e01a648ff41346cdeb873182383333d2184dd1,200.21649427006636
\x0c8b740e3377f2be7a108aeba6a2f660588c728d,198.85729956
\xab7ec7596fc05bc55afc07008cc06c1193ed6f9a,195.653135056
\x1e3c07ce10973fcaebc81468af1d3f390d2a4c71,195.16862465390537
\x62404bfb3e1c464f17e3af0c139e39d0703ae4a1,186.84866570308168
\xadf5b0c2103598fb66a61714152f1d1717d49fe0,182.67402332376327
\xe00e1f7117a69c34694ac1815177c93491fc448f,182.61427110225358
\xd7bb68b0ce5893983e5a2511b87e083609eb6ff9,181.683921
\x1de23f02e185fdc4f6bacc98d6c6419370e38538,180.99390648764376
\x22cff91f77a2ed675f3ab4aee16e15b27f6f275c,179.0779
\xf902aa3a62f9e28878129e1a8f1eb71e4fd7a88c,175.6671465282146
\x685445fe51b31790538890a6468851afbf7a0519,170.24559777637998
\xc249fe0288e75e47e62b138de8d020c9fee5a9f5,167.2313817633339
\xfe68de56a07cd3af0ec40c22b0193115ecdd0501,163.31579209820998
\x316b3b83c33b20249b61ded124f2620d8e823793,156.2386253840477
\x8a0e85901849b40a7f80399a00f7115193c0bdb2,150.9249
\x2b065809f6ec6df32878bcd26711a0e2bcf59c26,149.273246049435
\xcbcd4b518890429c0ffef3d782ed99b3adff009b,148.5914211402
\xaedc8a3afc62a3deee4eb232bfdb28058bf554d8,147.93432322879596
\xaec2cc8986bb14c0c604d5adf725ba33920102bc,143.8800497632979
\xc1e6e4d9fc0b7e555bb8634bcacc9a1067bec039,140.79711488072235
\x5d3f32f4b2e99fb79d2f6a1cbf3aa7390f8fc751,133.700186003
\xe4fa5149306b12d51dc0d04e5e95bc9704ccaad7,127.63896002583809
\xdafc2a2d4e070f863cfcb5887bc2516e05e18877,126.31132127478685
\x6506827d91659e871fc7267160ba1c3407195270,122.58523636355268
\xbe3364dfb8158a3e452ff96aeb247bf3f5f019b5,122.0
\x29e225d888cf11c5e67613bffd30bcf071eb3d4a,120.93622852084118
\xd93a9eba0b33896c629a7febfa2503f7ac0fa3af,117.31627068264
\x008f3db10374099a11ec263415cb88c952abeedc,117.0001
\xee18e156a020f2b2b2dcdec3a9476e61fbde1e48,116.45814313675618
\xc5d65deff5d1373f8b19aa8be528e9c3599013ba,115.2806852512
\x7cbc4e0d168744912c5afc081499145bbdc51e69,107.4276046358429
\xee14140f20fb737809ca206c238382b3f802ca6c,107.419484015
\xedc702ed96accae315a0f1e8fa2d5a6bc4feea69,105.729
\xad0c88f3313abbce2185597e87a15f764e948a46,105.04060569
\xd808259ca07fdf4d8fa825c4704f624352e2dc14,103.87266719
\x501577cd4865d7d50664a1519a79f1c0e7069154,103.80169859
\x397f44292e564bf85ea67a173d28a9fd5d1c6c73,102.0
\x75dbe6e21e38a05a82ad64281a9e28a627619273,101.39147076808928
\x6067a95e7bb071a5b73741628a0a5cb5cc164203,99.89836123994588
\xd8d0506ed425364ee126819e8b73fc3160c39d49,97.43334634089555
\x6d0b90ea2951ca5ad3abdb606e4146e9765f1ee4,94.55070185882758
\x05fbf1e3f105df6a4553f3c7f2ed93070a4bab46,94.49412852397059
\x545b0fdcbb2b404b26546521d4d183c2538509c2,93.54144142838565
\x3639b8b8eda816b2cb62b65159a183972a3cf863,93.51862979941596
\x336a3f0c4d40b1e39cee72e2e59330daf484848c,89.68030737323885
\x484f46f9dd32a0147126f07da4be61efc26ef42a,88.65791179
\x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,88.22413417994757
\x0669398307efefb60030ff328a0cb6a3a840182c,87.43630530012562
\x8cf893f11f6037b14f0f827b9ed6aeef38931fb4,87.105356056
\x37c81cc9ff71d0f97849a947bf22e8e529b72230,86.4381349197102
\xbbdef8b12babd3ab6018566bc17ec3aa302b8348,86.19426781
\x23d56797f64640e96feaf57b7874c897b53ef0e4,86.01082348687527
\x155ea3c47d523ea150b2fb33ecaedc4928e0f2db,84.86871837
\x0d9786138578fcdcce04435592545ef08422d755,84.20036165284961
\xd754b5bf41b84bcb49cb952f858318640abc60e0,83.05155594254514
\xac82537fae701b2046f62bb718c4857787b0b647,81.92452801345677
\x6c712ae4986342773edc37a9ff7fa90b1b52ca6e,78.93126630942001
\x8c9d299cc3c2111499416cf4e3677328486cfac2,78.13733998782006
\x87b4eed5a781d8b847645082410070f002b41e13,77.0234898
\xc1dd8ac971129c8c08333924f58ff40a50b8bb9a,76.18835956489502
\xba6f1e885c5a9b97e4a0eb81a5146ea49f53d5c4,75.96750573519024
\x0dea8a35f4e39cdf65d3cc11f10612e9e0278b60,74.30950281908686
\x9e9e3b124370c763d1a4e838069da3dfdbfca059,73.69542537324068
\x1f6f1723d0db4e9783b7171392b6fa9ae1062fd9,72.59112288
\x02fd82cba3bae39484d5eb7f75b5f3d5f418c691,71.95072334505
\x64f3502c4b6b7e7f106e7ab1f175a4e2c2fde45f,71.56322957575676
\xd585209338fdc9eaa15ec3a2b7ec589fc99b9c5d,71.13623693743843
\x831ee6baf32c7f558d90dd8f16a45e2928c23131,69.15297565
\x7eb28833082eb28fd423ab30df20afde98c47dbf,68.8805466099419
\x0b7f284d74f549731499c44aed2a10adcc9e9cc0,68.40310449762157
\xde72b9575b532ab7cf37c677d95e9ce612b05ace,67.59834717244591
\x3bf351a62df57dce8512b136daa4cd6ebe2dda91,67.18085785
\xca4da1753336aa8340710e0e1a8c0bee2bfbf56c,67.11276857116168
\x0ef2724a6d8be9f72f3d35b62e1e8a37ceaf721e,66.93618471
\x408fac2d2d3d3ac4e356aa188119f5624fd8c9f6,66.26103009542844
\x33bf8bde242216da572d6486d641ae0a18137306,65.11738283003811
\xeba3dbe720092b2c120fa5b6752936477ab4ec6b,64.68698956
\xbb27d8db02d9035c0783166ee39269d97a1985e2,63.96898205
\x1d7bc400d3c6d9d37ec54d0e729cbadd06dc0390,61.96668483
\xe7a06aab8286cef4206942a4891ee95a40e86466,61.73395891777778
\x660d30d1fbafdc88a1951370cbe2b3094dbf224b,61.44397802555151
\x6d64486a5c99139b53239297e0b653d196d05777,61.21056009
\xfc4bc1b71630e2ea621f89a346f61372d1dc8f8f,60.718625
\x9d032989f82c0e40202ae5abd844ff68181544d2,59.89647599
\xbb53be0690ae7256833099a1f01125eb33445692,59.69626695240853
\xe82c95901451409ce1dd2dd6c13848b6fac5298a,59.226900205981934
\x4508b6691d8c938781f130519625b4cdd7b1f804,58.410318912
\x93574d7c405717d80520944ee1cb72d327b01df5,58.19204051827922
\x37e30fee740928e8db15d3dafd544baab6b87051,58.10139867
\xfa9980a7240ea1beb0b5ce58c0744fcd67f06104,57.9696269
\xe10270bfb1ed82e120bfc392efb3c94a1604ded6,57.25
\x886af3f44f4cbc38819ace2c82442c1905c0d22c,55.77521247
\x3aa65f17cde339df49afd2f88b3c8495842d5fb0,54.224358
\xac3800002e45ed2e1a55dedfa2aca137f6dba61e,53.849290107
\x37c85a7523b1832b4d0380b2f513e88b66e8c850,53.314947589
\x07bc847f898d370ae6991ee9cc3abd16797e5cff,53.16029303069087
\xff8e6af02d41a576a0c82f7835535193e1a6bccc,53.07025157
\x5bea5bc53ecbbfc459cef95b5855c47748ba3986,52.30006189247055
\x0a9f58ee19a7131ed031ea66a032c05c7efe965a,52.29961016
\x33ce6c64865f889b67b2297742a5855c94db8e5f,52.0
\xaa1886de3f70a3ef502ea1379a311c5b4e05f3fd,51.97254159460836
\xabc490af011c8e354b7d2112648883fe9e511695,51.89664248800198
\x41466413f0c7f11c5b1af39cc1344af9d21a6d57,51.86319992
\x1ce4312fdd45c9184a5561314122b2244bd862c9,51.79349416127654
\xb5f3a62e8f0468efec0a65b81c09e8b46d1f9158,51.75234050794246
\xaa2498d85ba7559006f90110a4bc33c10a06c1af,51.12590099
\x9a4b3419f7e74ffaac61aa7ae8d345dc4b8f0758,51.111920199
\x058e49378461c239dae065114cd9fa1c0dbc25c1,50.947020605194574
\xac2530772075b7576a7b27390e348fadf3345c29,50.09429970028715
\xb7f9fdb9f3f6142cf5e2b7bee8aeba059dfb091b,49.00395531555574
\x4c6bad785ffcf6c0746f53dbcac9c5e877f75bfa,48.76485909693225
\x27f897ebeed82240734489d52aa7e39a8ca257e9,48.31547245
\xf23a5c61e951b198adbc59e1a05a729c043d33d5,48.08101052
\x0f4cf489c65f5001843c525e1f374768dcad9b99,47.881865035476906
\xdf3e77cd5e563f93fc7eca905d3302e95f9bb150,47.74341580312513
\x3b0009071a0a9983e9aab537fd8c9ad478310aeb,47.23007095802725
\x1e071281416b20ac2cd50d2e8093b43f8526940a,46.526808863430475
\x4fcff4b71481562cd6fdb0fdc7e25f3a8db55598,46.27754497203406
\x8d4426f94e42f721c7116e81d6688cd935cb3b4f,45.94865
\xd33441a44da0c1dcee596abb7ebdcdba77c7ddbd,45.656481953367255
\x5c9b3fa74e0700a3cbffd168c7342799a163ba53,45.6393952002336
\x1363077895b20ae90f80794ce4e575559517d033,45.44057597614328
\xc3853f32675aebf17ff15e7fb0d2bfc7eb4cf11b,44.76254345
\x8374aa52bf36eabca06e33c4163a081f53e39aa3,44.67924914
\xb53fb00e8635be2d0ba259d6579650f5a907ee16,44.0416142873756
\x119240ef17333e8dcb19a0dd4f5fc848981b0ff4,43.675294091095
\x4a8a747408e23b8b5314a85df21b0f8f8307ab40,42.5996968
\xbc2f218dc8a094c850856cda55d35fe2097f21ac,42.2138
\x9068327ff0f5e99af7d1aefc5310e4560c32b84b,41.23650048378365
\x1b76d77499125f2b05779b78a8a642cecdc069ec,40.75442255
\x05e18136f048d648ee73dd5d269d590ff2873c33,40.664096076991434
\xe6693620c549d35c52496a1cb0105f2712baf771,40.44678871
\x7908e104ae43e5e6bac2d3fdaae3ccdf07ed8b8c,40.28151803
\xf6ce1549a57f39238b47569a4787e25e5d695d22,39.7330024
\x52005b77fbebf53cfd9527a388f58d0431aaaa3e,39.56392978486365
\x570ac27d1048dcba1a4c58fe80109b9cf9b0e2ef,39.437288415
\x54189eab44661be1b081b4535c050230a787d816,39.32655439
\xd6a779c7fb040d7d82283efb6b64810189647405,39.22430126117027
\x98198d7ecc42a3e18d3fc52957db46930cf1d2e8,38.961
\x0a888f0f0b772e17a2adfd62d3f15cec72c8d42f,38.88444183
\x4d2c10881813a371b2a6b8c0d9d06e83ccb9e418,38.77023525
\x311c65dcbe025ead81cab2925b81489123ce2eda,38.643330726
\x0db49185aae1f8f4b95ebd5323c1fa3822d4fde8,38.64142832
\x29c3adf6f50e2186c21f5ebb1ac073115831286e,38.53732399
\xa4fe2874a4ad464a50cb72a8c0b1a6ab221a7c17,38.45476344
\x5e3ec117baf30044a1b08267208a130e7d69704e,38.43755436
\xe24b37355ce7205792f7b1df7564874f59bbbfd3,38.18690426
\x1e857859deb11afd0ca7b760f21a3d8ddb03dbdf,37.582710442
\x0059b14e35dab1b4eee1e2926c7a5660da66f747,37.55604605856815
\xc3cc3230d0c50dc3a3a8cf77f6d6fa0a618bf5d1,37.26158925
\xe56303d8ff8c25c240f41d90fcaae1469c5b5f77,37.182325474
\xac14590ad8184a48302f59a8baaf924b865de4c5,37.11152492
\xedc0c49946b93aa296a11298480ae7913bb65222,36.78114723069704
\x98c29afea6f69b59ad1790ce2e0effc0bd38433f,36.75217232
\x785a751b2e36b2b0fdb80100b7ca14889a768a22,36.68395905853662
\xff481ca14e6c16b79fc8ab299b4d2387ec8ecdd2,36.6737774641
\xc169a0e826f22fc7d37a48aaa346ffb4521c35cd,36.669664048
\xf7fb243ff0df4b35f5f7fa5317c128f16e71cf9a,36.56147383243243
\x5e5d6f6706420f932d796c0f28a83b26dabcfd8d,36.388760018
\x3331f67f5b2544fb0f2d7c90f7b8109d24bf6e7c,36.02
\x3d075995577c0c3c65a466fee47ffb1ba6a41b02,35.99561218578445
\x7083c1bb9a6d9c73cb9b3c200e992e43ff103462,35.9225656
\x76bb5b6177096b337c79f2f948aa08b0db5f5211,35.78582946769609
\x19bfd8a539ca899983b30e1d1c3370ac03d6b7ab,35.590304257110986
\x964a7c09e3db065ece947fdb7f90bf0068a6f98e,35.49
\x46cd13ad73b0260bccec6e722c42a7b76ae19b67,35.294708403304476
\xe0b13c073e8173b06062c69a160ebb54e2af86c3,35.142868161
\x2223d0e991e67830f9184171e2f5a44c1f0dee09,35.094836817391304
\x16c26eb6051fe13273c634cb6df70a26befa9ec3,35.001656164
\x4985a8d068a9cac4b81faaafb8d4516ae46dd768,34.627
\x79b570f107f07589244c76ad8fd9a7cca0fb80ef,34.58158744
\x870691b57198f065530e90f8e98c70d0bd545e3e,34.53470329
\xcc66ea7ef61a67df02afb18706c68a5f30b22300,34.05204719243633
\x37a8c55f6860e19f353686f5dd9c603adb8448b6,33.703075702
\x6a0e59af84f7a9afa5708b5e43c4845b17aedaac,33.61141314
\x41cd1343c6e497c075b7ed1e9f003d65141833e2,33.52762032
\x1cbc864ea74e0f23f103df8623ba56a01b1eda59,33.01104563977778
\xf1a4b668d15f0e66543e9f1f795cc2b0f97e3ef2,33.00821948
\x297a88c749273f2de6a378a6015dd624d993c671,32.86657056
\x6d08f8573e742db3eb88d8c545971e4dc9668528,32.76301447670805
\xb6ecd180f5cbb9167147394841d31f94eff77dbf,32.4238377
\x12a1ccf979d65333e8e27ede047b476736b584a6,32.397614551304095
\xf487d016b2ea5bebdeea03fa12adcab51237bc25,32.37696985
\xc71943c6411dd88aad1e5b69da551f16596d73cc,32.152202541987656
\x1865bf39ec9712f5f3d57cf423495c318939ab3e,32.14082037
\xd3ddae456004ed85639a39a9751192e80a967ed4,32.1
\x17897c5c38362d8f620e70fee0adba109af5db2d,32.0928303001
\x00eb6f5199cd0b671da371969b1a0f948e982fea,32.04440777
\x28a6d6e41fcca5b003f22ceba48aa689325dd62b,31.902752050479947
\x3422258c54c75b879ec7b2b1050186a2c0eb0ebd,31.8247686
\x8369f6723c4792b41d4af4190662269431ee5b0b,31.80722
\x17935dffbc228397d2f5a67061867804cecacae8,31.6930946370032
\x6d0aef62e321cf1afb74a4a305f380d9f5c34c8a,31.359952666
\xf94b8e0ceba6dcd1b888fe02141dd9d0b8e67715,31.29114880036324
\xb0608ca76d2ec6984f652829e887811516e4b846,31.155693389767833
\xb37da5c9179345341fe50d37cfc961ba47c01f9a,31.005750092
\x9399082f5b30a7ba6460f328b9885bc0cf81443d,30.40030698
\x0a10c493bc6f7faecca5be1e82d7fd7fb3774049,30.23375643
\x186006fa03374f548c35a7c2a712b35e40833f7e,30.04954484
\x45f7582fd6445918912977b9460475b5524cf962,29.831900107274414
\xf7d0fcd21d7bf83358656baaeb3c8c1903aa9614,29.82031776
\xf9a5139e42c3ca13d5b24d23ab2b18c278805dc4,29.5
\x34eea3e741f9a3e77fb34e0793b1af36edc2b0ae,29.431639106385862
\xf985aa8117999fa3f0f9e71a20d0fe7b88b9d706,29.28691080896269
\x051005cdcecd916fb8b98643d923646acc7e07cd,29.22109986
\x32672bd5f7f68ccae5e23986a11f89b51016145e,29.150149377720574
\xe349b26753eca84a2858901d414c612c8c8e20f9,29.13867945
\x645125230e924d2db84be4cabf946c87d5be8935,28.94511432
\xe3d474f3686a831bf380498d1dbd57fdf972ca30,28.65785210760494
\x303345349da72a28d12d5515f145dd77cb84bacc,28.65313993
\x988caa328c1f5f802c936dd1ae9e3da24729b687,28.6
\x34743ffa1f93e745668725e44efeb3c50a237796,28.434401649
\x3e53a430c39896daf1b241828e3b5e8d526503fa,28.39122767
\xe344e4b209e8eabaa2a6ddd1b0aa120b7599af25,28.387325216
\x3eadb407f81d62d27f63a8881805b1735f70e692,28.28173245
\x0967c50bfec4dba06e28e8fdbcfd15a23474fab4,28.21209197563211
\xcaa5854034d7eda409e2479c6c0351c167e21a08,28.10104095
\xb37722e14fcfc78a56312a9a746c5474822002f2,28.07304189
\xedfe1d963b32a89e05dd0bc0e8f595b4b9afb544,27.99333315
\xa7ce02b8195fe8e3116a7e1248f2725eaac86fec,27.90057148
\xf9fe85e19bd533c69067c6e2ff02727d40a54100,27.7573979
\xf9f876a42fcb0d40759790781fdc886449f54008,27.689277785
\x2e462fdef8cde7db82aa3f7c627731be94f7c9c4,27.63989778
\x7a16a0fd441a7591f2456c3cda068e33c6bbaa96,27.55712923
\x560833296ef7a7f41b30c1065225fa9b33830c19,27.444900084815693
\x629b2aa7fdda8f7527d6f8ea742c1d5774e567ea,27.405579413
\x1c50139c266559b29d7cb27635e0da13bef76a09,27.396502353002496
\x043375ebc36fff7a4fcef1359f3c89afddf56e08,27.21089717
\x0f89b38968065a571eeaf34dd6bf2093fb55c20f,27.16436814
\xbb90125091fd7c7953fb98b59f6ce75e2500e5db,27.128941884428343
\xa6626a8a85f2032930a25d278ae149191e3ba247,27.11291861
\x8c34460976e89edde3e2898dc7f23b597d295103,27.0
\xb48c99c37b7cf4ac0a1c2dca518782c1feb4f066,26.980532843738345
\x48ec7767d5def1c1520402b092356e070c5f1adc,26.91096666
\x9a4afeaecd8efe2a7186365b55e72503d555713b,26.84755834
\x9653d4d2c71cf7f61ba53b92355874e07bb4a86c,26.684760433
\x9849424a2f3516b70b56d70330c45c25dccb2c02,26.485769444897393
\xf605c1c8c1cd6bc3aa6f7383b86226c583ab2775,26.40453749958126
\x7ba85e2e55c7598378fe927ad2aef2dac6c45218,26.378
\xe2eeb03a93343b21dd39f201bb2803d8ef779b19,26.317146882
\x89c0e39f3b3be95c238912788687dbaebe7e6a2b,26.29420552
\xe54659243f8542d6abfd15bbff69f62465786756,26.284615385
\x87f655e887827ed11eb3fbc74767b18e142ccced,26.2492516
\x52b34625687d6266a3b98fd5d214828f0670d7ed,26.248312945332337
\x0697f9d4db21472b3461aa07be39b16cd5b56eca,26.20278288
\xeb85b4777698c0f41168087cd8d43a2fdef37bdb,26.13166247
\xcc71ee0f039f07adb1cf2484f4663cb6bf9e2689,25.96708682
\x69428858906050e78dbed8e65083d47139766b3f,25.914708650827116
\x9baac782ea141718437a825704fc61802993c03a,25.824778628581274
\x1efd1b1ee8174b5421786ef0127ea45076307d8d,25.81445362
\x1ee6b25a0e3f855a10916766df3a056e924e5dce,25.805290731061284
\x471dbd4d8fce14eae3b36efa8fa97a3937038dfa,25.67020723
\x8a46aa04725b2e2029bdcb924d671fd6a9c11dab,25.655064459489466
\x91459992bcbf089851abffa033559c2eef120469,25.652160312389142
\xaab92ead3017703f7f9f3f7ff71f623cd7a8d164,25.5354409485125
\xdb43de62ab5577bab0f2aaf6ad1a2d01ec527426,25.5280785
\x1e442d0461bd7a52fadb9920f6ed5bb3cd8ff75d,25.45938930153044
\x3bd330f121c493db91e59d9125968d3df090a66f,25.13078424
\xf7355cb5278fc4be2f53ce373f7cd9b543d042a1,25.12868999
\x07cfb04588154b06e3958b5d70408244102014d5,25.11234109
\xd0acac843aaab4cef20b322405405e67e90147d1,24.96046855666424
\xeb71af7cd339832ff8d88d985035b2793042eca8,24.88750992
\x1b8ee5cb5520ea3d12f64a8973c2a4f0cbcb1564,24.875623033263558
\x41467711f2d1f6021119ffb113ae0e78251b45fa,24.789626
\x6353940eabe11c7cd78ecc2085ae65cdacc5a92b,24.7259078
\x169b6c7ed548e45ba9d87b2d32ff27e2d00051ef,24.6761969755
\x418cb18a725a8b1043d2fb402bb71cc29e42e2e9,24.41841032
\x7d7f49f628e88413eb736bf059410bbdfecadcd5,24.32766120152557
\xfddbfa1b0b93612b95e3296690b63b74d019370c,24.319820533409555
\xbbfaf27674c2eb5d13edc58a40081248d13dcfeb,24.2680983
\xb9cfb36060785f6800b1ab9ccc9b4f341d097399,24.19724898
\x88f8717a2b30041006e08e286af9f1e9671b5724,24.1783736
\x754fb6a142ed0043937b676a067f2e367db52fa6,24.14293242
\x61cbef9db89e5d397bdde7ff9095bede35d4eeb5,23.99332693
\x606188614094946e0fcd05a0c94d51ff586fb01b,23.976787741116553
\xc1e6720f94a8d73e77a94d16fb76f7dd6edff54c,23.95734409
\xc9194a772c23a595dfab28e30376f2e16ec39e01,23.82092622
\xae9dcec1fb0814ca02ca1e6690d05f33488b4c8b,23.680950395667487
\xe2dab81efe425bdd0a64e9c69393f0243d7d672f,23.45156183
\xa525dd7a8034babf46f3f6e253035fb2bcf358b7,23.41656084
\x915c95415d3449212fd0991ccf5eb42864118ec9,23.2861134
\x4da9608f15c504a2b5c46491d9ccf257c5e2ff71,23.1347882104
\x09f8b64a3992ab516fc34de1157d2b4a39d45301,23.01115382
\xb767aa43b32827e6c26e126f845953712784cc1c,22.9335893
\x2d301d74a8d303da6408cc2dfda319bbeb48c125,22.933130300362404
\x4910e010ebf5b3366d1e80a134c1fa538ff7994c,22.916746339
\xf6238cbc1b74b183e54d63a555f867baa00d92df,22.861748697
\x7db9656fc8435f765df5748e32bf329098ffb5fb,22.83870537257304
\x37761568af636f074595bce8ed20dd5b404ed798,22.81681498
