name,number_of_nfts,symbol
Azuki,37,AZUKI
NFT Worlds,25,NFT Worlds
Doodles,11,DOODLE
Boss Beauties,10,BOSSB
Farm Land by Pixels,10,FARM
mfer,9,MFER
Fighter,9,FIGHTER
Gray Boys,8,GRAY
the littles NFT,7,thelittlesnft
MutantApeYachtClub,7,MAYC
KaijuKingz,7,KAIJU
Nanopass,6,NP
CloneX,6,CloneX
Cool Cats,5,COOL
Superlative Apes,5,SLAPE
The Doge Pound,4,DOGGY
Bored Ape Kennel Club,4,BAKC
CoolmansUniverse,3,COOLMAN
Dastardly Ducks,3,DASDUK
Budverse Cans - Heritage Edition,3,BUDWEISER
FVCK_CRYSTAL//,3,CRYST
Bored Ape Yacht Club,3,BAYC
PLUTO,2,PLUTO
FLUF,2,FLUF
PXQuest Adventurer,2,PXQ
Evaverse,2,EVA
Fishy Fam,2,FF
GenerativeDungeon,2,GENDUN
Girlies,2,GRLS
Monster Ape Club,2,MAC
Hero,2,HERO
TheCurrency,2,TENDER
Decentraland,2,LAND
Edenhorde,2,EH
RugBurn,1,RBN
STAPLEVERSE - FEED CLAN,1,FEED
Secret NFT Club,1,NFT
Sipher INU,1,INU
Stuff up Butts,1,BUTTS
SupDucks,1,SD
Swampverse,1,SWAMPER
Syn City Genesis Passes,1,SYNP
T-O-S The Other Side,1,TOS
WVRPS by Warpsound,1,WVRPS
alien frens,1,ALIENFRENS
hausphases,1,HAUS
MightyBabyDragons,1,MBDV2
Alien Punks,1,ALIENPUNK
Angry Ape Army,1,AAA
Animetas,1,ANMT
Bamboozlers,1,Bamboozlers
C-01 Official Collection,1,C-01
CanineCartel,1,CARTEL
Capsule,1,CAPSULE
Catshit Crazy NFT,1,CSC
Cool Monkes,1,CMNKS
Creature World,1,CREATURE
CryptoBatz by Ozzy Osbourne,1,BATZ
DEGEN TOONZ COLLECTION,1,TOONZ
DoodleDoge,1,DDOGE
Drop Bears,1,DBS
Ethereum Name Service (ENS),1,ENS
FOMO MOFOS,1,FOMO
Fudders,1,NGMI
Gutter Punks - DEGEN TOONZ,1,GPDT
Ikuza,1,IKUZA
KBOT_FACTORY,1,KBOTS
Killer GF,1,KGF
KylerAndJesus,1,K&J
Letters,1,LETTERS
Lil Baby Punk,1,LBP
Lil Heroes,1,LIL
Meebits,1,âš‡
ALPACADABRAZ 3D,1,PACA 3D
Morphs Official,1,MORPHS
Oracle,1,Oracle
Polzilla,1,POLZILLA
PudgyPenguins,1,PPG
Rarible,1,RARI
Rock Dogs,1,RDOG
